Id,predicted_values
0x6808,0.2464
0x6a98,-0.019
0xacc0,0.2508
0x8225,0.6199
0xaee8,0.023
0xbc8c,0.9934
0x610e,0.0667
0x62e8,0.0491
0x818e,-0.4932
0x6dc0,0.2821
0x15a6,0.4521
0x675,-2.1138
0x6e24,-0.205
0x3004,0.1001
0x6aeb,0.4429
0xc36b,-2.738
0x17fc,0.6713
0x58a5,-0.0748
0x6567,0.0356
0x455a,0.37
0xa5f9,-2.0546
0x5913,0.2674
0x1153,1.0918
0xbe16,1.1143
0xb98c,0.5235
0x6a2e,0.1022
0x11a9,0.1594
0x28ab,0.4394
0x878a,0.3647
0x5c90,0.1063
0xb32d,-0.0848
0xc467,0.7035
0x775,-1.2342
0x3c43,-0.6674
0x877d,0.4645
0x5596,0.257
0x1382,-0.2379
0x1da5,0.4902
0x6042,-2.4561
0x124b,-0.1117
0x813f,0.5541
0x74cf,-0.0452
0x48b5,1.0483
0x5222,0.5932
0x4b9d,0.455
0xb190,0.6558
0x69b4,0.6938
0x32dc,-0.3161
0xb82b,-0.0339
0xaf92,0.0509
0x51bf,0.5246
0x9a28,0.813
0x35cc,-0.2762
0x6b12,0.3669
0x2677,0.4371
0x20ab,0.054
0xc92c,0.7914
0x72b6,0.2196
0xa797,-0.0306
0x8f6f,-2.4736
0xc03a,-3.0492
0x587a,0.2214
0xbe0a,0.8615
0x3217,0.5048
0x2517,0.1486
0x33e0,-0.1046
0x8912,0.0616
0xac07,0.0295
0x88f0,0.5335
0x9111,-1.3754
0x2ef7,0.0462
0x20e7,0.0974
0x19a9,0.4214
0x2620,0.3927
0xb520,0.3302
0xbf7d,0.0026
0x7626,0.3207
0x77b8,0.3045
0x2dca,0.2763
0x54f4,0.224
0x5608,0.1835
0xb858,0.1972
0x918f,0.6412
0x34b3,-0.3997
0x4070,0.8075
0x5615,0.0871
0xc2a8,0.2169
0x1499,0.0524
0x466f,0.3221
0x9408,-0.198
0xc9b,1.1881
0x995d,0.6476
0x34e6,0.0486
0x8a16,0.3323
0x2088,0.5509
0xb8a8,0.355
0xba3f,0.2888
0x1b1c,0.4779
0x3d6c,0.1872
0xa811,0.0976
0x2836,0.6065
0xc59c,0.5671
0x81df,-2.4953
0xc8cb,0.1565
0x5e45,0.066
0xc47f,0.5107
0xb105,-0.0829
0x3f54,-2.6434
0x788f,-1.0888
0x74a3,0.3277
0x934c,0.3831
0x1dc1,0.3774
0x3225,-1.2528
0x48cd,0.1675
0xa0d7,0.0987
0xbecb,-0.0005
0x4dd4,-0.7024
0x31c8,-0.0989
0xb9a7,0.9801
0x654a,0.522
0x9cc4,0.4268
0x5b2c,0.5711
0x8cd4,0.1652
0x6b0a,0.5948
0x7f8,0.4309
0x1a27,0.2639
0x6ba1,0.2615
0x35c9,0.5192
0xbe2,0.4618
0x9443,0.1907
0xbbba,0.6343
0x24fb,1.1015
0x5ce2,0.2602
0xa09f,0.4825
0x8324,0.4214
0xada9,-0.3756
0x32c5,-1.0507
0xa92b,0.4373
0x9d7,-0.079
0x6163,0.5033
0xbebe,-1.467
0x5c59,0.1094
0x7eb1,-0.1913
0xa8b2,-0.3237
0x6240,0.1727
0xac0b,-0.9631
0x87cc,0.4054
0xb3cb,0.38
0x58e7,0.545
0x1014,-0.2718
0x7156,0.883
0x2046,-2.2039
0x556f,0.5348
0xe85,0.26
0xa0c7,-0.0738
0x33bd,-2.5362
0xc7f4,1.0635
0x1e4e,-0.5743
0x628a,0.0987
0x9c9a,0.3635
0x7069,0.3175
0x3513,0.1679
0x4482,1.1413
0x4bf7,-0.111
0x454d,0.7986
0xc6ca,-0.2114
0x6dcf,0.256
0x6d1a,0.7966
0xbbcb,-3.1841
0x341b,-0.3288
0x2231,0.2317
0x9f47,-0.6107
0xb4f8,-0.0052
0xc83,0.4521
0x53bb,0.0344
0xa8f7,0.5003
0x3237,-1.2572
0x7cc8,0.8415
0x925a,-2.7401
0xab0c,0.4656
0x7c3,0.3167
0x79b2,0.165
0x4e06,0.0087
0x684f,0.0638
0x4e43,-0.2219
0x228d,0.0059
0x2439,0.141
0xa47e,0.1179
0xbe58,0.2149
0x35ec,0.457
0x64d7,0.0787
0x2e4f,-0.1959
0x47c6,0.2101
0x2485,0.1061
0x4143,0.1214
0xbd68,0.6361
0xbb6d,0.643
0x718e,0.3352
0x757b,0.6364
0xab1c,0.2223
0xc082,0.0559
0x218e,0.6184
0x1717,-0.1651
0xc80c,0.2426
0x6c92,0.2059
0xc198,0.2275
0x730a,0.4391
0xa86a,-0.0572
0x368d,0.5148
0x41cf,-0.1215
0x3d1e,-0.9879
0x2aab,0.8921
0x64c5,-2.7046
0xa79c,0.284
0x7ce3,-2.548
0x30f7,0.1018
0x5944,0.5366
0x3f53,-0.0187
0x15cc,0.4619
0x4b3a,-0.3544
0x9a2b,0.022
0x1b3f,-0.3676
0x143c,0.5069
0x843f,0.4012
0x9328,0.1635
0xc62f,1.2167
0x23fe,0.5602
0x3aac,0.5146
0xae17,0.0218
0x524f,0.2126
0xca5,0.797
0x11e2,0.0772
0x91b8,-0.6274
0x2377,1.1013
0x5f0b,0.0382
0x72d9,0.4227
0x68ef,0.0425
0x70b2,0.3941
0xbff8,-0.3361
0x7c2c,1.0718
0x529e,0.0793
0x11ac,0.526
0x97d1,-2.5512
0xa2b3,0.8026
0xb321,0.3421
0x2265,-1.7201
0x3e00,-0.3718
0x6060,-0.0789
0xbd72,0.6769
0x2ab0,-0.3643
0x5b2b,-0.2081
0x9809,0.5714
0x9f83,-0.2551
0x8c47,-0.5503
0x2890,0.1483
0x1135,0.1902
0x68b4,-0.1324
0x5da6,0.4902
0x4079,-2.3198
0x87cf,0.6831
